iter	Passed	Remaining
0	0	70
1	1	62
2	1	59
3	2	54
4	2	54
5	3	53
6	3	52
7	4	51
8	5	51
9	5	50
10	6	49
11	6	49
12	7	48
13	7	47
14	8	47
15	8	46
16	9	46
17	10	45
18	10	45
19	11	45
20	11	44
21	12	43
22	12	43
23	13	42
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	31
43	23	30
44	24	29
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	30	24
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	55	0
99	55	0
